binomial,Range,AdultBodyMass_g,Red List status,TrophicLevel,Order
Dactylomys boliviensis,336905.939846193,728.8,LC,Herbivore,RODENTIA
Dactylomys dactylinus,3306574.86348067,649.98,LC,Herbivore,RODENTIA
Dactylomys peruanus,163.766882559509,382,DD,Herbivore,RODENTIA
Dactylonax palpator,213289.186467804,359,LC,Insectivore,DIPROTODONTIA
Dactylopsila megalura,62974.3244453134,319.2747,LC,Omnivore,DIPROTODONTIA
Dactylopsila tatei,144.866537008237,252,EN,Omnivore,DIPROTODONTIA
Dactylopsila trivirgata,765397.191706842,413.41,LC,Insectivore,DIPROTODONTIA
Dama dama,188667.439204412,57224.61,LC,Herbivore,CETARTIODACTYLA
Dama mesopotamica,66.3172935961025,57224.61,EN,Herbivore,CETARTIODACTYLA
Damaliscus lunatus,1840650.54845633,136000.3,LC,Herbivore,CETARTIODACTYLA
Damaliscus pygargus,395523.694509825,77784.55,LC,Herbivore,CETARTIODACTYLA
Dasycercus blythi,1471982.42354273,99.54,LC,Carnivore,DASYUROMORPHIA
Dasycercus cristicauda,114850.907654436,99.54,NT,Carnivore,DASYUROMORPHIA
Dasykaluta rosamondae,386578.707684164,32.17,LC,Carnivore,DASYUROMORPHIA
Dasymys foxi,51938.2579251464,81.91666667,DD,Herbivore,RODENTIA
Dasymys incomtus,6435516.15223537,127.75,LC,Herbivore,RODENTIA
Dasymys montanus,1879.35386199966,59,EN,Herbivore,RODENTIA
Dasymys nudipes,137662.43478607,81.91666667,DD,Herbivore,RODENTIA
Dasymys rufulus,1666893.48208318,59,LC,Herbivore,RODENTIA
Dasyprocta azarae,1667306.94733428,2976.81,DD,Herbivore,RODENTIA
Dasyprocta coibae,500.487574962799,8.082422901,VU,Herbivore,RODENTIA
Dasyprocta fuliginosa,2612229.72989798,3500.02,LC,Herbivore,RODENTIA
Dasyprocta guamara,22949.4499089629,2650.03,NT,Herbivore,RODENTIA
Dasyprocta kalinowskii,67067.9848148987,2650.03,DD,Herbivore,RODENTIA
Dasyprocta leporina,4557311.76387937,3009.99,LC,Herbivore,RODENTIA
Dasyprocta mexicana,70123.8601522836,4999.99,CR,Herbivore,RODENTIA
Dasyprocta prymnolopha,1929753.31273746,2900,LC,Herbivore,RODENTIA
Dasyprocta punctata,1306837.6692217,2309.12,LC,Herbivore,RODENTIA
Dasyprocta ruatanica,156.605087809454,2300,EN,Herbivore,RODENTIA
Dasypus hybridus,1423649.70270702,1500,NT,Insectivore,CINGULATA
Dasypus kappleri,6028982.90585573,9702.83,LC,Insectivore,CINGULATA
Dasypus novemcinctus,18207315.624616,3949.01,LC,Insectivore,CINGULATA
Dasypus pilosus,53166.2714182981,4444.98,DD,Insectivore,CINGULATA
Dasypus sabanicola,441453.960477395,1150.01,NT,Insectivore,CINGULATA
Dasypus septemcinctus,5799177.43045593,1526.64,LC,Insectivore,CINGULATA
Dasypus yepesi,22458.4867095458,3712.245,DD,Insectivore,CINGULATA
Dasyuroides byrnei,71511.1830036305,109.47,VU,Carnivore,DASYUROMORPHIA
Dasyurus albopunctatus,580310.276111419,603.48,NT,Carnivore,DASYUROMORPHIA
Dasyurus geoffroii,188679.587142825,1106.62,NT,Insectivore,DASYUROMORPHIA
Dasyurus hallucatus,331666.908787111,470.92,EN,Insectivore,DASYUROMORPHIA
Dasyurus maculatus,464968.773942875,3284.15,NT,Omnivore,DASYUROMORPHIA
Dasyurus spartacus,26551.5602612246,885.67,NT,Omnivore,DASYUROMORPHIA
Dasyurus viverrinus,63883.697019599,1101.49,EN,Omnivore,DASYUROMORPHIA
Daubentonia madagascariensis,125073.197112314,2731.37,EN,Omnivore,PRIMATES
Delanymys brooksi,3946.31650057435,4.99,VU,Omnivore,RODENTIA
Delomys collinus,88348.5893251104,67,LC,Omnivore,RODENTIA
Delomys dorsalis,291972.006583829,67.5,LC,Omnivore,RODENTIA
Delomys sublineatus,150814.590658202,89.99,LC,Omnivore,RODENTIA
Deltamys kempi,141581.99543896,26.4,LC,Omnivore,RODENTIA
Dendrogale melanura,68970.5374194026,59.99,DD,Insectivore,SCANDENTIA
Dendrogale murina,204367.539816502,49.99,LC,Insectivore,SCANDENTIA
Dendrohyrax arboreus,2446114.40625527,2981.11,LC,Herbivore,HYRACOIDEA
Dendrohyrax dorsalis,3057808.982622,3174.99,LC,Herbivore,HYRACOIDEA
Dendrohyrax validus,37809.884532864,2430,NT,Herbivore,HYRACOIDEA
Dendrolagus bennettianus,3562.45766438631,10458.82,NT,Herbivore,DIPROTODONTIA
Dendrolagus dorianus,39847.2474475015,8976.58,VU,Herbivore,DIPROTODONTIA
Dendrolagus goodfellowi,114894.762692109,7948.78,EN,Herbivore,DIPROTODONTIA
Dendrolagus inustus,144442.130413362,12625,VU,Herbivore,DIPROTODONTIA
Dendrolagus lumholtzi,7383.08232116359,6649.97,NT,Herbivore,DIPROTODONTIA
Dendrolagus matschiei,12712.4964374169,8293.4,EN,Herbivore,DIPROTODONTIA
Dendrolagus mbaiso,5558.3088429959,9395.06,EN,Herbivore,DIPROTODONTIA
Dendrolagus notatus,84949.909262064,9469.198333,EN,Herbivore,DIPROTODONTIA
Dendrolagus pulcherrimus,235.410104815977,8025,CR,Herbivore,DIPROTODONTIA
Dendrolagus scottae,1246.35828278349,9958.58,CR,Herbivore,DIPROTODONTIA
Dendrolagus spadix,49872.4423549554,8468.2,VU,Herbivore,DIPROTODONTIA
Dendrolagus stellarum,46918.5162994365,9581,VU,Herbivore,DIPROTODONTIA
Dendrolagus ursinus,28295.8826108744,13249.99,VU,Herbivore,DIPROTODONTIA
Dendromus insignis,26896.8669178657,11.051,LC,Omnivore,RODENTIA
Dendromus kahuziensis,122.945379598018,3.009225357,CR,Omnivore,RODENTIA
Dendromus kivu,27532.3424539055,8.508934408,LC,Omnivore,RODENTIA
Dendromus lovati,38666.7343591981,12,LC,Omnivore,RODENTIA
Dendromus melanotis,4305598.26815764,9.1,LC,Omnivore,RODENTIA
Dendromus mesomelas,588635.036541536,10.2,LC,Omnivore,RODENTIA
Dendromus messorius,60941.4293254802,4.039489771,LC,Omnivore,RODENTIA
Dendromus mystacalis,2937067.5627218,8.17,LC,Omnivore,RODENTIA
Dendromus nyikae,2375792.29277555,15,LC,Omnivore,RODENTIA
Dendromus oreas,1370.20042905675,4.010694547,LC,Omnivore,RODENTIA
Dendromus vernayi,318.13808729431,8.508934408,DD,Omnivore,RODENTIA
Dendroprionomys rousseloti,281.749406135777,115.8328212,DD,Insectivore,RODENTIA
Deomys ferrugineus,1293571.91103008,57.6,LC,Insectivore,RODENTIA
Dephomys defua,426036.661800443,43.05,LC,Omnivore,RODENTIA
Desmana moschata,1215827.27873744,427.64,EN,Insectivore,EULIPOTYPHLA
Desmodilliscus braueri,3380204.82592968,10,LC,Herbivore,RODENTIA
Desmodillus auricularis,1955065.21721482,54.81,LC,Omnivore,RODENTIA
Desmodus rotundus,17726517.7238516,33.16,LC,Insectivore,CHIROPTERA
Desmomys harringtoni,265251.688280681,89.99,LC,Omnivore,RODENTIA
Desmomys yaldeni,9679.52675912464,89.99,VU,Omnivore,RODENTIA
Diaemus youngi,13059176.1786599,36.71,LC,Insectivore,CHIROPTERA
Dicerorhinus sumatrensis,8510.94988941654,1046156,CR,Herbivore,PERISSODACTYLA
Diceros bicornis,5299790.75394198,995940.5,CR,Herbivore,PERISSODACTYLA
Diclidurus albus,12498370.8972842,16.56,LC,Insectivore,CHIROPTERA
Diclidurus ingens,2088305.71617508,12.3,DD,Insectivore,CHIROPTERA
Diclidurus scutatus,1540643.00428393,13.62,LC,Insectivore,CHIROPTERA
Dicrostonyx groenlandicus,2561819.0407633,58.44,LC,Herbivore,RODENTIA
Dicrostonyx hudsonius,492354.102385894,57,LC,Herbivore,RODENTIA
Dicrostonyx nelsoni,334105.007402516,55,LC,Herbivore,RODENTIA
Dicrostonyx nunatakensis,54570.0760433841,54.4,LC,Herbivore,RODENTIA
Dicrostonyx richardsoni,405227.617551952,55,LC,Herbivore,RODENTIA
Dicrostonyx torquatus,2615996.34635096,78.77,LC,Herbivore,RODENTIA
Dicrostonyx unalascensis,4510.23875108796,59.76833333,DD,Herbivore,RODENTIA
Dicrostonyx vinogradovi,7788.52286636957,59.76833333,DD,Herbivore,RODENTIA
Didelphis albiventris,6795565.81610208,1030.47,LC,Omnivore,DIDELPHIMORPHIA
Didelphis aurita,1446047.96351288,1105.88,LC,Omnivore,DIDELPHIMORPHIA
Didelphis imperfecta,530382.959072289,904.003,LC,Omnivore,DIDELPHIMORPHIA
Didelphis marsupialis,9324399.94537327,1134.75,LC,Omnivore,DIDELPHIMORPHIA
Didelphis pernigra,1033727.90207289,904.003,LC,Omnivore,DIDELPHIMORPHIA
Didelphis virginiana,6033226.93742495,2442.08,LC,Omnivore,DIDELPHIMORPHIA
Dinaromys bogdanovi,79580.4899749635,56,VU,Herbivore,RODENTIA
Dinomys branickii,1390156.69988818,12500,LC,Herbivore,RODENTIA
Diomys crumpi,96.6047238953972,141.0605074,DD,Omnivore,RODENTIA
Diphylla ecaudata,8092435.59314534,28.11,LC,Insectivore,CHIROPTERA
Diplogale hosei,100926.109775774,1450,VU,Insectivore,CARNIVORA
Diplomesodon pulchellum,1820728.81426458,11,LC,Insectivore,EULIPOTYPHLA
Diplomys caniceps,432.217171792083,394.49,DD,Herbivore,RODENTIA
Diplomys labilis,110966.520710911,282.17,LC,Herbivore,RODENTIA
Diplothrix legata,799.969340514999,63.85388804,EN,Omnivore,RODENTIA
Dipodomys agilis,38595.5236359768,60.21,LC,Herbivore,RODENTIA
Dipodomys californicus,86209.8269570708,84.95,LC,Herbivore,RODENTIA
Dipodomys compactus,49440.9024724652,49.25,LC,Herbivore,RODENTIA
Dipodomys deserti,307685.282875024,107.63,LC,Omnivore,RODENTIA
Dipodomys elator,10767.6644680276,105.82,VU,Omnivore,RODENTIA
Dipodomys gravipes,5681.97734158051,83.96,CR,Omnivore,RODENTIA
Dipodomys heermanni,70208.6151778097,63.08,LC,Herbivore,RODENTIA
Dipodomys ingens,6784.26515184628,113.61,EN,Herbivore,RODENTIA
Dipodomys merriami,1423683.81695498,37.91,LC,Omnivore,RODENTIA
Dipodomys microps,392308.359810353,56.26,LC,Herbivore,RODENTIA
Dipodomys nelsoni,192588.89212569,87.93,LC,Omnivore,RODENTIA
Dipodomys nitratoides,11297.0095275966,41.59,VU,Herbivore,RODENTIA
Dipodomys ordii,3419731.41356685,50.4,LC,Omnivore,RODENTIA
Dipodomys panamintinus,60988.1372614283,73.67,LC,Herbivore,RODENTIA
Dipodomys phillipsii,62377.8613728353,41,LC,Herbivore,RODENTIA
Dipodomys simulans,97814.5742202843,57.7,LC,Herbivore,RODENTIA
Dipodomys spectabilis,523883.186071578,124.61,NT,Omnivore,RODENTIA
Dipodomys stephensi,2922.88913626974,68.49,EN,Omnivore,RODENTIA
Dipodomys venustus,16356.3942234922,81.52,LC,Herbivore,RODENTIA
Dipus sagitta,3156285.04449303,89,LC,Omnivore,RODENTIA
Distoechurus pennatus,536111.970965458,52.74,LC,Omnivore,DIPROTODONTIA
Dobsonia anderseni,46526.9955495129,233.99,LC,Herbivore,CHIROPTERA
Dobsonia beauforti,7912.7700304551,165.35,LC,Herbivore,CHIROPTERA
Dobsonia chapmani,29.1132412042775,224.3275,CR,Herbivore,CHIROPTERA
Dobsonia crenulata,209291.771293843,218.21,LC,Herbivore,CHIROPTERA
Dobsonia emersa,2533.40451726239,201.06,VU,Herbivore,CHIROPTERA
Dobsonia exoleta,179910.94415485,302.03,LC,Herbivore,CHIROPTERA
Dobsonia inermis,34750.3400188637,152.6,LC,Herbivore,CHIROPTERA
Dobsonia minor,614850.434427682,85.95,LC,Herbivore,CHIROPTERA
Dobsonia moluccensis,31934.7740735509,447.64,LC,Herbivore,CHIROPTERA
Dobsonia pannietensis,5415.20261109915,239.19,NT,Herbivore,CHIROPTERA
Dobsonia peronii,87783.6915670047,226.51,LC,Herbivore,CHIROPTERA
Dobsonia praedatrix,44746.1207589676,178.74,LC,Herbivore,CHIROPTERA
Dobsonia viridis,27753.0086080217,240.66,LC,Herbivore,CHIROPTERA
Dolichotis patagonum,1242816.99450435,8000,NT,Herbivore,RODENTIA
Dolichotis salinicola,735968.049308093,1607.6,LC,Herbivore,RODENTIA
Dologale dybowskii,484539.134779161,361.92,DD,Insectivore,CARNIVORA
Dorcatragus megalotis,50718.4823485249,10918.12,VU,Herbivore,CETARTIODACTYLA
Dorcopsis atrata,83.2502701600458,6198.87,CR,Herbivore,DIPROTODONTIA
Dorcopsis hageni,152971.243088597,5499.99,LC,Herbivore,DIPROTODONTIA
Dorcopsis luctuosa,159592.355001465,4939.56,VU,Herbivore,DIPROTODONTIA
Dorcopsis muelleri,125654.760141084,5370.79,LC,Herbivore,DIPROTODONTIA
Dorcopsulus macleayi,25885.9158942568,2780.54,LC,Herbivore,DIPROTODONTIA
Dorcopsulus vanheurni,179394.549792145,1890.36,NT,Herbivore,DIPROTODONTIA
Dremomys everetti,65727.4204386262,129.78,LC,Omnivore,RODENTIA
Dremomys gularis,42686.4713258016,246.4344257,LC,Omnivore,RODENTIA
Dremomys lokriah,361879.037407143,226.99,LC,Omnivore,RODENTIA
Dremomys pernyi,1752952.87398509,198.63,LC,Omnivore,RODENTIA
Dremomys pyrrhomerus,273471.04054245,245,LC,Omnivore,RODENTIA
Dremomys rufigenis,1600227.67373367,200.32,LC,Omnivore,RODENTIA
Dromiciops gliroides,139169.354701194,25,NT,Insectivore,MICROBIOTHERIA
Dryomys laniger,28682.0879140746,25.91,DD,Omnivore,RODENTIA
Dryomys niethammeri,28.9522554980965,27.705,VU,Omnivore,RODENTIA
Dryomys nitedula,5228746.4607719,29.5,LC,Omnivore,RODENTIA
Dyacopterus brooksi,429470.115278188,81.1,VU,Herbivore,CHIROPTERA
Dyacopterus spadiceus,445029.703491009,81.1,NT,Herbivore,CHIROPTERA
Dymecodon pilirostris,38974.9460335307,15.46,LC,Insectivore,EULIPOTYPHLA
Echimys chrysurus,1583343.24159816,609.99,LC,Herbivore,RODENTIA
Echimys saturnus,131046.35986593,626.89,DD,Herbivore,RODENTIA
Echimys vieirai,68147.0889872248,618.44,DD,Herbivore,RODENTIA
Echinops telfairi,111004.16219444,152.25,LC,Carnivore,AFROSORICIDA
Echinosorex gymnura,1373927.42762631,756.53,LC,Omnivore,EULIPOTYPHLA
Echiothrix centrosa,29007.0560796586,265,VU,Insectivore,RODENTIA
Echiothrix leucura,3632.50407132778,265,EN,Insectivore,RODENTIA
Echymipera clara,175468.595637961,1204.61,LC,Herbivore,PERAMELEMORPHIA
Echymipera davidi,278.313130788063,817.05,EN,NotAssigned,PERAMELEMORPHIA
Echymipera echinista,631.162547758179,1204.61,DD,NotAssigned,PERAMELEMORPHIA
Echymipera kalubu,840230.180477244,825.16,LC,Omnivore,PERAMELEMORPHIA
Echymipera rufescens,859314.674934042,1051.48,LC,NotAssigned,PERAMELEMORPHIA
Ectophylla alba,124361.573243329,5.55,NT,Herbivore,CHIROPTERA
Eidolon dupreanum,460027.210780443,297.58,VU,Herbivore,CHIROPTERA
Eidolon helvum,11802302.3466463,254.61,NT,Herbivore,CHIROPTERA
Eira barbara,13375343.9863132,4134.99,LC,Omnivore,CARNIVORA
Elaphodus cephalophus,1933559.5319406,23087.87,NT,Herbivore,CETARTIODACTYLA
Elephantulus brachyrhynchus,3874147.19884904,45.11,LC,Omnivore,MACROSCELIDEA
Elephantulus edwardii,193798.080175566,49.69,LC,Omnivore,MACROSCELIDEA
Elephantulus fuscipes,150897.655780953,57,DD,Omnivore,MACROSCELIDEA
Elephantulus fuscus,155038.173423856,50.45666667,DD,Omnivore,MACROSCELIDEA
Elephantulus intufi,1212986.36815884,48.9,LC,Omnivore,MACROSCELIDEA
Elephantulus myurus,968379.599261574,59.51,LC,Omnivore,MACROSCELIDEA
Elephantulus pilicaudus,28388.8623544803,50.45666667,DD,Omnivore,MACROSCELIDEA
Elephantulus rozeti,730304.783791971,43.07,LC,Omnivore,MACROSCELIDEA
Elephantulus rufescens,1493641.12689857,52.78,LC,Omnivore,MACROSCELIDEA
Elephantulus rupestris,557904.436418318,65.56,LC,Omnivore,MACROSCELIDEA
Elephas maximus,598732.115858361,3269794,EN,Herbivore,PROBOSCIDEA
Eligmodontia moreni,46842.7751853783,18,LC,Omnivore,RODENTIA
Eligmodontia morgani,371796.230142857,16.5,LC,Omnivore,RODENTIA
Eligmodontia puerulus,447158.566023025,28.49,LC,Omnivore,RODENTIA
Eligmodontia typus,922783.356541218,17.37,LC,Omnivore,RODENTIA
Eliomys melanurus,148690.970887654,100.36,LC,Omnivore,RODENTIA
Eliomys munbyanus,873740.077765364,3.365900551,LC,Omnivore,RODENTIA
Eliomys quercinus,2362163.69990584,114.61,NT,Omnivore,RODENTIA
Eliurus antsingy,1263.36436650585,81.67625,DD,Omnivore,RODENTIA
Eliurus danieli,866.351276569299,81.67625,LC,Omnivore,RODENTIA
Eliurus ellermani,19.8138784000385,100,DD,Omnivore,RODENTIA
Eliurus grandidieri,60596.301195969,81.67625,LC,Omnivore,RODENTIA
Eliurus majori,88713.4416280689,100,LC,Omnivore,RODENTIA
Eliurus minor,114231.273012532,57.53,LC,Omnivore,RODENTIA
Eliurus myoxinus,279015.095275265,69.76,LC,Omnivore,RODENTIA
Eliurus penicillatus,1756.69571920801,100,EN,Omnivore,RODENTIA
Eliurus petteri,1491.97502938086,75,EN,Omnivore,RODENTIA
Eliurus tanala,120856.310808766,89.99,LC,Omnivore,RODENTIA
Eliurus webbi,133408.493356068,61.13,LC,Omnivore,RODENTIA
Ellobius alaicus,2603.33915164247,74.32825,DD,Herbivore,RODENTIA
Ellobius fuscocapillus,478896.2489442,80,LC,Herbivore,RODENTIA
Ellobius lutescens,310071.39447402,117.313,LC,Herbivore,RODENTIA
Ellobius talpinus,2984350.72463607,40,LC,Herbivore,RODENTIA
Ellobius tancrei,3010223.77589316,60,LC,Herbivore,RODENTIA
Emballonura alecto,1212058.6695057,5.25,LC,Insectivore,CHIROPTERA
Emballonura beccarii,91119.1699482035,4.31,LC,Insectivore,CHIROPTERA
Emballonura dianae,90456.7925968696,5.226666667,LC,Insectivore,CHIROPTERA
Emballonura furax,67863.564488754,5.226666667,LC,Insectivore,CHIROPTERA
Emballonura monticola,1690479.33930551,5.35,LC,Insectivore,CHIROPTERA
Emballonura raffrayana,216455.310751326,5.61,LC,Insectivore,CHIROPTERA
Emballonura semicaudata,2134.91169057789,6.29,EN,Insectivore,CHIROPTERA
Emballonura serii,9326.43508024316,5.226666667,LC,Insectivore,CHIROPTERA
Enchisthenes hartii,3104105.99115554,16.99,LC,Herbivore,CHIROPTERA
Enhydra lutris,2026050.49637606,27410.93,EN,Insectivore,CARNIVORA
Eoglaucomys fimbriatus,188936.375655007,510,LC,Herbivore,RODENTIA
Eolagurus luteus,398226.360868715,26,LC,Herbivore,RODENTIA
Eolagurus przewalskii,903281.552420641,46.25861204,LC,Herbivore,RODENTIA
Eonycteris major,732628.361394136,70.7,DD,Herbivore,CHIROPTERA
Eonycteris robusta,114506.364486385,78.36,NT,Herbivore,CHIROPTERA
Eonycteris spelaea,3525628.50468071,58.7,LC,Herbivore,CHIROPTERA
Eospalax fontanierii,1200746.71096265,256.76,LC,Herbivore,RODENTIA
Eospalax rothschildi,231871.240153892,104.345,LC,Herbivore,RODENTIA
Eospalax smithii,134689.498348134,94.15,LC,Herbivore,RODENTIA
Eothenomys cachinus,26620.9153440143,46.25861204,LC,Omnivore,RODENTIA
Eothenomys chinensis,8999.06495964673,45.3,LC,Omnivore,RODENTIA
Eothenomys custos,115771.459856414,30.8,LC,Omnivore,RODENTIA
Eothenomys melanogaster,1722986.44419335,19.59,LC,Omnivore,RODENTIA
Eothenomys miletus,402718.020611193,46.25861204,LC,Omnivore,RODENTIA
Eothenomys olitor,177906.740797603,22,LC,Omnivore,RODENTIA
Eothenomys proditor,38470.0059944083,42.5,LC,Omnivore,RODENTIA
Eothenomys wardi,8331.72743117142,46.25861204,NT,Omnivore,RODENTIA
Eozapus setchuanus,545021.10657693,32.576,LC,Herbivore,RODENTIA
Episoriculus caudatus,315602.345456484,6.27,LC,Carnivore,EULIPOTYPHLA
Episoriculus fumidus,12808.6502188059,6.95,LC,Carnivore,EULIPOTYPHLA
Episoriculus leucops,236569.001284409,9.35,LC,Carnivore,EULIPOTYPHLA
Episoriculus macrurus,375510.082941475,8.157340556,LC,Carnivore,EULIPOTYPHLA
Epixerus ebii,540525.789541568,520.96,LC,Omnivore,RODENTIA
Epomophorus angolensis,383572.654208838,88.458,NT,Herbivore,CHIROPTERA
Epomophorus anselli,3093.94335164276,88.458,DD,Herbivore,CHIROPTERA
Epomophorus crypturus,2084351.8023932,95.04,LC,Herbivore,CHIROPTERA
Epomophorus gambianus,3791198.00277294,134.59,LC,Herbivore,CHIROPTERA
Epomophorus grandis,508.126194390548,49.42,DD,Herbivore,CHIROPTERA
Epomophorus labiatus,1765045.21146169,69.65,LC,Herbivore,CHIROPTERA
Epomophorus minimus,264485.882195876,88.458,LC,Herbivore,CHIROPTERA
Epomophorus wahlbergi,4968585.01259272,93.59,LC,Herbivore,CHIROPTERA
Epomops buettikoferi,1079555.41891581,135.67,LC,Herbivore,CHIROPTERA
Epomops dobsonii,1366391.7936143,122.08,LC,Herbivore,CHIROPTERA
Epomops franqueti,4509719.72633837,118.99,LC,Herbivore,CHIROPTERA
Eptesicus andinus,811200.273761177,12.56384615,LC,Insectivore,CHIROPTERA
Eptesicus bobrinskoi,643909.243119347,7.54,LC,Insectivore,CHIROPTERA
Eptesicus bottae,3885112.94636878,15.66,LC,Insectivore,CHIROPTERA
Eptesicus brasiliensis,13117340.2625514,9.2,LC,Insectivore,CHIROPTERA
Eptesicus chiriquinus,187151.35715465,12.56384615,LC,Insectivore,CHIROPTERA
Eptesicus diminutus,2385956.80538973,5.99,LC,Insectivore,CHIROPTERA
Eptesicus dimissus,4071.48494949636,13.03,DD,Insectivore,CHIROPTERA
Eptesicus floweri,876002.548256224,12.56384615,LC,Insectivore,CHIROPTERA
Eptesicus furinalis,16292708.0340452,7.7,LC,Insectivore,CHIROPTERA
Eptesicus fuscus,12789255.2223667,17.49,LC,Insectivore,CHIROPTERA
Eptesicus gobiensis,3883902.0860676,12.56384615,LC,Insectivore,CHIROPTERA
Eptesicus guadeloupensis,1468.68841630704,12.56384615,EN,Insectivore,CHIROPTERA
Eptesicus hottentotus,2853467.58228729,30.33,LC,Insectivore,CHIROPTERA
Eptesicus innoxius,167224.006784593,12.56384615,NT,Insectivore,CHIROPTERA
Eptesicus japonensis,3409.88746252267,12.56384615,EN,Insectivore,CHIROPTERA
Eptesicus nasutus,1865591.72386752,7.91,LC,Insectivore,CHIROPTERA
Eptesicus nilssonii,10472992.149605,10.72,LC,Insectivore,CHIROPTERA
Eptesicus pachyotis,1205038.29779501,8.1,LC,Insectivore,CHIROPTERA
Eptesicus platyops,926.100899002013,12.56384615,DD,Insectivore,CHIROPTERA
Eptesicus serotinus,12118863.1355357,23.09,LC,Insectivore,CHIROPTERA
Eptesicus tatei,1128.00170138637,12.56384615,DD,Insectivore,CHIROPTERA
Equus africanus,67426.8566978906,250000,CR,Herbivore,PERISSODACTYLA
Equus grevyi,90832.5233724173,408000.3,EN,Herbivore,PERISSODACTYLA
Equus hemionus,348637.934789146,235248.1,NT,Herbivore,PERISSODACTYLA
Equus kiang,1785558.5758826,281138.6,LC,Herbivore,PERISSODACTYLA
Equus quagga,2314214.44194438,400000,NT,Herbivore,PERISSODACTYLA
Equus zebra,319595.87002287,282462.1,VU,Herbivore,PERISSODACTYLA
Eremitalpa granti,50294.0620368367,22.04,LC,Insectivore,AFROSORICIDA
Eremodipus lichtensteini,559492.75530987,51,LC,Herbivore,RODENTIA
Eremoryzomys polius,14290.2911803919,60.64641072,DD,Omnivore,RODENTIA
Erethizon dorsatum,12063259.7663855,7419.46,LC,Herbivore,RODENTIA
Erinaceus amurensis,4254779.30908876,780,LC,Insectivore,EULIPOTYPHLA
Erinaceus concolor,1346254.76899388,665.99,LC,Insectivore,EULIPOTYPHLA
Erinaceus europaeus,3809039.02164745,777.95,LC,Carnivore,EULIPOTYPHLA
Erinaceus roumanicus,6029712.13266516,772,LC,Carnivore,EULIPOTYPHLA
Eropeplus canus,12606.8959476368,50,VU,Omnivore,RODENTIA
Erophylla bombifrons,82891.9487832304,16.28,LC,Omnivore,CHIROPTERA
Erophylla sezekorni,122945.38402078,15.87,LC,Omnivore,CHIROPTERA
Erythrocebus patas,7128871.52875506,7966.3,LC,Herbivore,PRIMATES
Euchoreutes naso,1674846.98877549,24.14,LC,Insectivore,RODENTIA
Euderma maculatum,2104986.0742719,16.17,LC,Insectivore,CHIROPTERA
Eudiscopus denticulus,5126.24409391677,10.17892383,LC,Insectivore,CHIROPTERA
Eudorcas albonotata,128521.800814602,25000,LC,Herbivore,CETARTIODACTYLA
Eudorcas rufifrons,2197974.49583682,26999.77,VU,Herbivore,CETARTIODACTYLA
Eudorcas thomsonii,157281.76645321,22907.43,NT,Herbivore,CETARTIODACTYLA
Eudorcas tilonura,93843.8522145892,22907.43,EN,NotAssigned,CETARTIODACTYLA
Eulemur albifrons,18368.020505872,2300,EN,Herbivore,PRIMATES
Eulemur cinereiceps,1817.01881439238,2250,CR,Herbivore,PRIMATES
Eulemur collaris,8159.92914666677,2250,EN,Herbivore,PRIMATES
Eulemur coronatus,6235.8179855974,1699.85,EN,Herbivore,PRIMATES
Eulemur flavifrons,2530.92417767009,2158.365455,CR,NotAssigned,PRIMATES
Eulemur fulvus,48249.446627835,2376.99,NT,Herbivore,PRIMATES
Eulemur macaco,8304.30530909436,2040,VU,Herbivore,PRIMATES
Eulemur mongoz,6668.95556286026,1771.13,CR,Herbivore,PRIMATES
Eulemur rubriventer,49839.087251341,2015.4,VU,Herbivore,PRIMATES
Eulemur rufifrons,32614.16536993,2250,NT,Herbivore,PRIMATES
Eulemur rufus,38354.4568587664,2394.62,VU,Herbivore,PRIMATES
Eulemur sanfordi,3693.58988548729,2394.03,EN,Herbivore,PRIMATES
Eumops auripendulus,14106769.8985031,28.49,LC,Insectivore,CHIROPTERA
Eumops bonariensis,1161090.37366128,12.22,LC,Insectivore,CHIROPTERA
Eumops dabbenei,2407709.82284604,67.27,LC,Insectivore,CHIROPTERA
Eumops floridanus,999.178864966073,38.47,VU,Insectivore,CHIROPTERA
Eumops glaucinus,8971213.90378251,36.2,LC,Insectivore,CHIROPTERA
Eumops hansae,6416222.89102568,15.47,LC,Insectivore,CHIROPTERA
Eumops maurus,1223527.24983319,38.47,DD,Insectivore,CHIROPTERA
Eumops patagonicus,1535787.15156589,38.47,LC,Insectivore,CHIROPTERA
Eumops perotis,11695631.2695605,50.97,LC,Insectivore,CHIROPTERA
Eumops trumbulli,4744456.13741025,38.47,LC,Insectivore,CHIROPTERA
Eumops underwoodi,955823.887095143,58.67,LC,Insectivore,CHIROPTERA
Euneomys chinchilloides,76633.3132615624,75.57,DD,Herbivore,RODENTIA
Euneomys fossor,9897.8557933439,83,DD,Herbivore,RODENTIA
Euneomys mordax,52358.5008077196,81.99,LC,Herbivore,RODENTIA
Euneomys petersoni,591117.957365114,83,LC,Herbivore,RODENTIA
Euoticus elegantulus,782197.192098094,295.48,LC,Omnivore,PRIMATES
Euoticus pallidus,95879.1619139475,277.37,LC,Herbivore,PRIMATES
Eupetaurus cinereus,32782.5593683105,2500,EN,Herbivore,RODENTIA
Eupleres goudotii,83230.6296119184,2763.34,VU,Insectivore,CARNIVORA
Euroscaptor grandis,114257.542044766,46.84098624,LC,Insectivore,EULIPOTYPHLA
Euroscaptor klossi,668553.019947037,80.33613646,LC,Insectivore,EULIPOTYPHLA
