,grid_index,area,annual_mean_temp,prec_warmest_quarter,temp_seasonality,prec_seasonality,npp,binomial
1,1,1938.5490672575427,26.314583333333335,351.51429036458336,104.67727864583334,72.436083984375,-inf,Cannomys_badius
2,2,6537.195588124426,27.636966705322266,234.47494506835938,123.72990417480469,67.86769104003906,-3.3999999521443642e+38,Cannomys_badius
3,3,28.005783500982382,26.679399278428818,439.62391493055554,91.76542833116319,99.78547498914931,653250068480.0,Cannomys_badius
4,4,2674.1273642363276,26.050513857886905,251.76981026785714,108.376708984375,78.76590401785714,-1.699999976072182e+37,Cannomys_badius
5,5,10000.0,27.714544677734374,197.90267333984374,124.60653076171874,77.43524780273438,-inf,Cannomys_badius
6,6,441.66698366184727,25.83393249511719,424.623193359375,102.623779296875,101.14953002929687,638387063256.6154,Cannomys_badius
7,7,4287.002617595958,26.147844587053573,220.61042131696428,122.45152064732143,83.78732561383929,554218637230.08,Cannomys_badius
8,8,10000.0,27.981648763020832,213.69673665364584,131.36170450846353,86.31414794921875,-inf,Cannomys_badius
9,9,1483.3778500254168,27.786488850911457,256.68227132161456,162.73393758138022,78.72403971354167,402641485824.0,Cannomys_badius
10,10,136.41844399001116,27.32223917643229,237.52364908854167,169.42921549479166,82.216650390625,503152256866.46155,Cannomys_badius
11,11,3224.050269999487,26.87484130859375,249.9438232421875,168.72489013671876,86.93694458007812,648985636590.9333,Cannomys_badius
12,12,4874.3207908847435,25.722489640519427,499.0225401182432,121.51571737753379,99.89392419763513,565977750641.7778,Cannomys_badius
13,13,8111.6682539175235,27.058082217261905,261.01157924107144,145.296142578125,83.17750767299107,478466067660.8,Cannomys_badius
14,14,10000.0,28.018870035807293,205.72554524739584,150.4796142578125,87.22781032986111,387955097600.0,Cannomys_badius
15,15,2253.2230928818694,25.71309315074574,340.5421253551136,176.40024636008522,77.76104736328125,577969249133.7142,Cannomys_badius
16,16,3952.7806316145384,26.71344502766927,265.08135308159723,182.55984157986111,78.66520860460069,513858531974.7368,Cannomys_badius
17,17,8395.70166153955,27.1002197265625,254.5102771577381,181.80447823660714,84.96207682291667,518282595532.8,Cannomys_badius
18,18,10000.0,26.622820172991073,268.8937174479167,172.84935360863096,90.27775065104167,596669261414.4,Cannomys_badius
19,19,10000.0,26.614889526367186,561.146337890625,123.3442626953125,114.0060302734375,417552714956.8,Cannomys_badius
20,20,638.5084522436671,25.38284156436012,435.56914992559524,142.39474051339286,96.95669410342262,565848886476.8,Cannomys_badius
21,21,9955.156907061066,26.386631556919642,285.06459263392856,169.40162295386904,80.75631859188988,497548158566.4,Cannomys_badius
22,22,10000.0,27.995801653180802,216.41476004464286,169.63875906808036,85.16375732421875,391837122560.0,Cannomys_badius
23,23,2134.7336491521446,26.549716186523437,310.9913818359375,201.77755126953124,78.29312744140626,409718908518.4,Cannomys_badius
24,24,8172.691046468349,27.079839797247026,262.1416713169643,212.29736328125,79.10285295758929,333023988940.8,Cannomys_badius
25,25,10000.0,27.056050618489582,279.9003673735119,202.8374488467262,83.67761811755952,306788905779.2,Cannomys_badius
26,26,10000.0,26.849138532366073,304.84584263392856,185.24617513020834,89.37446521577381,353534581145.6,Cannomys_badius
27,27,9997.729830679824,26.55074462890625,554.6399739583334,135.78036295572917,115.46829427083334,373399289856.0,Cannomys_badius
28,28,1724.4365689937858,25.128197079613095,371.59398251488096,159.86540876116072,102.30082775297619,535245881344.0,Cannomys_badius
29,29,10000.0,26.010846819196427,282.6197916666667,187.22206333705358,80.49679129464286,480859652096.0,Cannomys_badius
30,30,10000.0,28.066158896998356,253.72902960526315,192.6389031661184,81.76345343338816,372954103808.0,Cannomys_badius
31,31,2853.3838023396797,26.285308837890625,295.80064561631946,205.99917263454861,79.63831244574652,468452469097.41174,Cannomys_badius
32,32,6978.3294895519,26.99229503813244,311.8643275669643,223.1640625,80.67990257626488,308476169420.8,Cannomys_badius
33,33,10000.0,27.086861746651785,330.63392857142856,222.36200241815476,86.11532156808036,293134322892.8,Cannomys_badius
34,34,10000.0,26.76329650878906,307.1658203125,215.5265625,93.27258911132813,368525600358.4,Cannomys_badius
35,35,9209.582319971965,26.79415338689631,518.5235706676136,158.50077681107953,115.53257057883523,342686629888.0,Cannomys_badius
36,36,4350.899190381564,25.203630719866073,344.9997488839286,186.85009765625,101.09020647321428,483685920931.84,Cannomys_badius
37,37,9998.992484697983,26.5125,261.17779017857146,212.00458984375,82.55781947544642,440289974026.24,Cannomys_badius
38,38,10000.0,27.016010284423828,282.29644775390625,203.3603057861328,83.53270721435547,435376870266.43475,Cannomys_badius
39,39,8095.645532916207,24.99174303886218,343.1950120192308,218.59893329326923,82.62318459535257,545794980758.069,Cannomys_badius
40,40,9647.27337089215,26.521562848772323,380.4819754464286,237.6169642857143,84.42491629464286,377071746416.64,Cannomys_badius
41,41,10000.0,26.610093470982143,427.86023995535714,232.18890904017857,90.89031110491071,390821807390.72,Cannomys_badius
42,42,10000.0,26.13715303861178,411.59371243990387,238.66798753004807,97.33420034555289,466283601009.7778,Cannomys_badius
43,43,6185.499616223274,27.02244822184245,385.7967122395833,208.1693115234375,115.89649454752605,440416436224.0,Cannomys_badius
44,44,85.45544194894768,26.059925568409454,384.66268529647436,196.16451322115384,105.58020332532051,507684130169.2632,Cannomys_badius
45,45,8931.199115210651,24.260689871651785,265.0826125372024,218.24944196428572,85.74392554873512,486320426188.8,Cannomys_badius
46,46,10000.0,26.328386579241073,268.9102492559524,238.94256882440476,83.38249279203869,478917951488.0,Cannomys_badius
47,47,10000.0,26.156918480282737,374.2485816592262,222.2626488095238,85.71927315848214,515705982156.8,Cannomys_badius
48,48,10000.0,24.967020670572918,429.9049479166667,236.0413818359375,82.72398885091145,532514471936.0,Cannomys_badius
49,49,9995.929642112967,26.21500244140625,459.112451171875,248.9130126953125,87.23529052734375,408675913272.8889,Cannomys_badius
50,50,9241.036174405552,26.021528764204547,590.4796993371212,258.5675307765151,94.57423354640152,388789249170.2857,Cannomys_badius
51,51,7490.9058019759095,26.000193277994793,580.43603515625,249.65531412760416,98.59848022460938,389066810982.4,Cannomys_badius
52,52,1316.097348814383,24.970281691778276,1197.5511532738096,227.4413597470238,122.482177734375,406461274989.7143,Cannomys_badius
53,53,3315.7418244680384,25.20356677827381,558.3160342261905,241.19838169642858,108.4086681547619,412614751325.0909,Cannomys_badius
54,54,3962.357310951847,25.737930297851562,360.16127232142856,226.44412667410714,104.91183907645089,451139731456.0,Cannomys_badius
55,55,1226.6548300698134,24.372642880394345,367.5802408854167,230.14620535714286,94.67935616629464,540288011468.8,Cannomys_badius
56,56,10000.0,23.891829717726935,284.7782273065476,247.06582496279762,81.69300478980655,460961664204.8,Cannomys_badius
57,57,10000.0,25.191484723772323,324.2440476190476,263.42406063988096,82.75018601190476,484748401049.6,Cannomys_badius
58,58,10000.0,25.224522181919642,394.6533668154762,250.9267810639881,84.2484363374256,529467860582.4,Cannomys_badius
59,59,10000.0,24.726988389756944,471.54609375,254.54496527777778,85.70915798611111,628767636014.5454,Cannomys_badius
60,60,9173.122324643919,25.013143920898436,745.609423828125,270.2967529296875,98.60509033203125,706105180160.0,Cannomys_badius
61,61,315.0062624891031,26.049826049804686,1212.47626953125,245.7152099609375,119.2296630859375,342821131605.3333,Cannomys_badius
62,62,203.3267694362087,25.06826689749053,1054.46875,263.0922703598485,115.44497218276516,459754438656.0,Cannomys_badius
63,63,8137.73348766984,26.072970581054687,437.60732421875,294.75849609375,96.2075927734375,393417064448.0,Cannomys_badius
64,64,5346.399490769871,23.46434211730957,403.24066162109375,245.86505126953125,87.47461700439453,562225945713.7778,Cannomys_badius
65,65,2685.319508973145,23.80556466238839,340.42684151785716,253.4993861607143,85.37600446428571,526927265792.0,Cannomys_badius
66,66,10000.0,23.19595249720982,347.03624441964286,262.2387834821429,83.56953822544642,510500850892.8,Cannomys_badius
67,67,10000.0,24.193143136160714,361.49718191964286,275.0345982142857,83.47972935267858,500697556582.4,Cannomys_badius
68,68,10000.0,24.65795200892857,379.03334263392856,264.3861886160714,85.78080357142858,501062146457.6,Cannomys_badius
69,69,10000.0,23.538232421875,461.597705078125,263.4959716796875,87.57886352539063,635660446378.6666,Cannomys_badius
70,70,10000.0,22.022655856224798,904.8702116935484,280.40858114919354,98.19078408518145,648596129671.5294,Cannomys_badius
71,71,8283.056484418636,20.625638961791992,1011.8381958007812,311.31842041015625,99.00619506835938,654407461225.4117,Cannomys_badius
72,72,7830.726144776693,20.681829833984374,720.049951171875,357.8833984375,91.07855834960938,671274500096.0,Cannomys_badius
73,73,391.50065871311466,25.260842895507814,1114.87001953125,283.7701416015625,119.11802978515625,423227188838.4,Cannomys_badius
74,74,882.6090272048502,24.91950916108631,665.0992838541666,300.0611281622024,102.18058268229167,514574822058.6667,Cannomys_badius
75,75,9701.463785215152,26.72352294921875,285.5670654296875,328.229833984375,85.68168334960937,305880308849.7778,Cannomys_badius
76,76,3088.964628514846,21.682449340820312,382.9964192708333,271.6463623046875,84.30103556315105,519189910869.3333,Cannomys_badius
77,77,3538.8465310315646,22.261417933872767,390.9076915922619,274.35181826636904,84.91007486979167,488974791475.2,Cannomys_badius
78,78,10000.0,22.594261532738095,371.66148158482144,277.1058407738095,84.28154645647321,512911002828.8,Cannomys_badius
79,79,10000.0,23.612858363560267,403.083984375,280.96172805059524,85.06788853236607,526299221196.8,Cannomys_badius
80,80,10000.0,24.467776343936013,439.0126023065476,271.46498325892856,89.83043271019345,547961176064.0,Cannomys_badius
81,81,10000.0,23.04847462972005,507.2492268880208,281.45208740234375,89.22293090820312,633684972885.3334,Cannomys_badius
82,82,10000.0,22.035762241908483,762.2290271577381,303.7579055059524,96.35733468191964,638505294233.6,Cannomys_badius
83,83,10000.0,20.178601946149552,825.6441592261905,331.4173874627976,95.69398135230655,677360277913.6,Cannomys_badius
84,84,10000.0,20.351485188802084,663.9709635416667,381.05078125,90.23196614583334,654219713929.8462,Cannomys_badius
85,85,6032.453856317934,23.70503874747984,1001.715347782258,298.6086189516129,115.43294008316532,623264006144.0,Cannomys_badius
86,86,6198.494283398043,23.80675487029247,439.05779246794873,313.64027443910254,94.18678009815706,471138983632.5926,Cannomys_badius
87,87,8894.309639416695,26.42844475640191,238.92572699652777,326.5325520833333,87.21546766493056,189167304704.0,Cannomys_badius
88,88,751.3375408741855,20.75912602742513,494.5901285807292,295.9014892578125,87.8853251139323,436903276270.93335,Cannomys_badius
89,89,3908.90693615317,20.739865257626487,471.2747860863095,295.49379185267856,88.08575730096726,456742089523.2,Cannomys_badius
90,90,10000.0,22.514293852306547,402.55194382440476,303.5996791294643,83.8306884765625,534269478830.08,Cannomys_badius
91,91,10000.0,21.954813639322918,419.9960007440476,296.24286179315476,84.4341808500744,535882062888.96,Cannomys_badius
92,92,10000.0,23.02978515625,584.7147042410714,292.0962844122024,89.40841820126488,646441693347.84,Cannomys_badius
93,93,10000.0,22.000223795572918,735.2859700520834,305.1860758463542,92.692138671875,761246952106.6666,Cannomys_badius
94,94,9985.578658905944,21.860521589006698,923.848400297619,330.1908714657738,102.39747256324405,722325586575.36,Cannomys_badius
95,95,10000.0,20.345809209914435,914.8470982142857,356.15101841517856,98.3357166108631,652612017848.32,Cannomys_badius
96,96,10000.0,20.896191067165798,748.5047743055555,408.2497829861111,90.60685899522569,630097759436.8,Cannomys_badius
97,97,7813.2072539444935,21.350034825942096,809.0669806985294,296.0480526194853,105.43608542049633,640005701632.0,Cannomys_badius
98,98,8950.572718565872,22.798784809727824,377.4763419858871,325.40325730846774,91.6335212953629,399880355840.0,Cannomys_badius
99,99,8100.163737699103,22.83716583251953,477.9819742838542,327.19146728515625,86.93597412109375,460793254833.2308,Cannomys_badius
100,100,5123.44872455825,21.102200753348214,516.9348772321429,325.71813616071427,89.19371512276786,495621347737.6,Cannomys_badius
101,101,10000.0,21.62142159598214,440.41414620535716,324.47915736607143,83.67763671875,586831940812.8,Cannomys_badius
